,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-27,41.03,24.23,44.93,39.47,124.73,49.11,36.16,31.56,20.4,49.6,25.76,39.89,120.9,59.37,29.25,48.51,12.09,26.31,13.49,83.12,21.17,36.47,42.24,57.35,13.76,27.23,99.95,65.41,20.3,27.5,29.92,49.66,33.39,29.94,8.92,1.4,21.46,25.88,17.47,22.38,20.74,5.11,16.11,78.59,49.97,78.06,38.73,27.65,51.28,35.45,11.09,5.27,5.61,13.89,66.13,32.78,54.49,18.37,48.79,19.22
2009-04-28,40.7,24.15,44.92,38.85,123.9,50.04,35.07,30.58,19.93,49.84,25.34,40.34,120.67,58.98,30.0,48.47,12.0,25.77,13.39,82.4,20.76,37.08,42.28,56.55,14.19,27.16,101.94,65.99,19.48,27.51,30.79,50.14,32.78,29.31,8.15,1.34,21.77,26.07,17.0,22.8,20.82,5.19,15.73,76.93,49.69,77.13,39.19,27.64,50.61,35.42,10.88,5.33,5.7,13.64,67.08,32.79,54.53,18.67,48.27,19.61
2009-04-29,41.51,24.95,46.16,40.55,125.14,50.45,36.96,30.85,20.25,49.61,26.29,38.46,127.18,59.71,31.14,50.45,12.22,26.14,13.43,79.79,22.84,37.94,42.71,57.52,15.24,28.69,104.04,67.56,19.97,28.02,30.8,50.95,33.69,29.63,8.68,1.41,21.98,26.34,17.38,23.27,20.49,5.45,16.96,78.33,50.42,79.08,39.5,28.1,53.34,36.45,11.25,5.49,5.9,14.02,68.44,34.48,54.41,19.25,48.63,20.16
2009-04-30,41.0,25.22,45.23,40.05,125.83,49.76,37.8,30.76,20.26,49.14,27.69,38.09,128.5,59.0,31.43,50.4,12.65,25.86,13.36,80.52,23.56,37.91,43.05,57.6,15.46,28.72,103.21,66.1,20.01,27.9,31.78,49.72,35.58,30.21,8.93,1.38,21.83,26.32,18.06,23.4,19.84,5.98,17.16,79.16,49.44,78.53,42.11,29.06,51.67,35.98,11.62,5.42,6.11,14.29,66.67,33.0,53.29,19.32,48.35,19.79
2009-05-01,42.5,24.29,45.67,41.21,127.24,49.79,40.19,30.61,20.24,49.75,28.7,37.54,127.08,61.4,31.53,50.05,12.69,26.41,13.58,78.96,22.64,37.88,42.47,57.88,16.36,28.74,104.61,66.87,19.61,27.87,32.26,51.51,37.26,32.04,8.7,1.38,22.84,25.77,17.95,23.49,20.65,5.69,17.46,79.17,49.5,81.59,43.4,29.26,52.38,36.52,11.85,5.48,6.44,14.14,68.01,32.49,52.4,19.58,49.34,19.89
2009-05-04,43.87,27.28,46.97,42.18,132.07,49.1,42.65,30.95,20.19,50.33,30.02,39.04,134.16,62.27,31.52,50.84,13.1,27.23,13.98,79.77,23.98,38.58,43.17,58.48,16.65,29.27,106.19,66.68,24.25,29.4,32.03,52.99,38.48,32.83,10.38,1.46,24.44,26.21,18.36,24.26,21.85,5.88,18.17,81.59,50.99,80.34,44.26,30.27,54.0,37.14,12.28,5.78,6.56,14.18,68.2,35.79,52.77,19.5,49.98,20.97
2009-05-05,42.96,26.57,47.53,43.15,132.71,49.73,42.0,30.56,19.79,49.92,29.56,38.49,135.2,61.56,31.42,50.46,13.1,27.25,14.28,81.9,24.31,37.69,43.14,58.43,16.25,29.0,105.85,65.75,23.27,29.07,31.8,52.49,39.41,32.87,10.84,1.73,24.34,26.19,17.86,25.22,21.87,5.85,18.04,82.24,49.79,79.68,43.39,30.31,53.62,36.8,11.86,5.82,6.52,14.74,67.65,34.82,53.16,19.63,49.95,20.39
2009-05-06,44.22,27.14,47.61,44.2,132.5,49.72,43.42,31.05,19.79,50.98,30.64,38.23,139.22,61.35,31.21,49.51,13.67,27.74,13.91,81.99,24.24,38.6,42.94,59.14,16.0,29.29,104.62,68.11,26.84,28.76,31.96,53.48,40.0,33.52,12.69,1.84,24.96,26.04,18.31,25.0,22.65,6.26,18.33,83.54,50.84,80.48,43.0,30.88,54.24,36.33,11.89,5.93,6.69,14.85,68.58,37.22,53.69,19.61,50.21,20.63
2009-05-07,43.74,25.97,47.47,43.53,129.06,49.49,40.91,30.75,19.32,51.71,29.54,37.5,133.73,61.87,30.52,49.89,13.96,27.25,14.16,79.28,22.94,38.29,42.8,58.77,15.69,29.44,102.59,67.98,24.76,27.91,31.79,53.81,37.92,33.59,13.51,1.95,24.74,25.61,17.58,25.04,21.88,6.06,19.15,80.24,51.34,79.68,42.65,30.05,53.66,34.53,11.07,6.17,6.59,14.8,68.93,35.24,53.39,18.95,48.84,22.48
2009-05-08,46.91,28.4,48.27,45.83,129.19,49.75,41.25,30.91,19.42,51.95,29.94,39.26,139.59,61.82,31.39,50.14,14.53,27.94,14.4,77.95,23.92,38.36,42.92,60.09,15.75,30.15,101.49,70.38,28.18,28.38,32.12,56.15,39.64,34.84,14.17,2.01,25.2,25.5,17.3,25.53,23.3,6.24,19.46,79.17,51.57,82.46,42.83,29.89,55.88,34.68,10.81,6.84,6.69,15.15,70.8,38.94,54.92,18.73,50.54,22.87
2009-05-11,45.13,26.04,47.66,44.72,129.57,49.58,40.29,30.94,19.32,51.65,27.32,39.95,135.78,62.19,31.11,50.63,14.19,26.95,14.15,78.61,23.38,37.93,42.75,59.11,15.41,29.86,102.9,68.0,26.53,27.63,32.6,55.31,38.43,33.8,12.94,1.9,24.37,24.93,17.26,25.2,21.81,6.08,19.35,76.79,50.37,80.35,42.92,29.3,54.13,35.03,11.02,6.67,6.49,15.54,69.27,35.83,54.4,18.61,49.29,22.68
